Date,Open,High,Low,Close,Adj Close,Volume
2002-10-11,849.950012,852.000000,836.099976,838.000000,761.472168,436
2002-10-14,825.000000,856.950012,825.000000,842.500000,765.561401,264
2002-10-15,842.500000,842.500000,842.500000,842.500000,765.561401,0
2002-10-16,849.450012,854.950012,840.250000,850.250000,772.603394,138
2002-10-17,830.099976,853.750000,823.400024,840.250000,763.516663,231
2002-10-18,779.450012,849.950012,779.450012,841.400024,764.561829,191
2002-10-21,850.000000,851.900024,841.000000,848.000000,770.559082,379
2002-10-22,854.000000,854.000000,848.000000,849.400024,771.830994,192
2002-10-23,844.000000,850.000000,835.000000,850.000000,772.376404,104
2002-10-24,850.000000,860.000000,847.000000,860.000000,781.462952,242
2002-10-25,855.000000,861.000000,848.099976,854.849976,776.783569,317
2002-10-28,850.099976,852.000000,835.000000,837.650024,761.154358,123
2002-10-29,841.900024,841.900024,825.000000,825.099976,749.750122,74
2002-10-30,821.000000,833.900024,815.000000,815.000000,740.572449,422
2002-10-31,816.000000,828.000000,812.000000,814.849976,740.436340,185
2002-11-01,811.000000,840.000000,811.000000,837.500000,761.017883,114
2002-11-04,878.900024,878.900024,821.049988,858.500000,780.100098,73
2002-11-05,820.000000,844.900024,805.000000,844.900024,767.742249,81
2002-11-06,844.900024,844.900024,844.900024,844.900024,767.742249,0
2002-11-07,845.000000,849.900024,840.049988,841.049988,764.243652,49
2002-11-08,841.000000,852.000000,840.750000,843.650024,766.606018,369
2002-11-11,846.950012,846.950012,830.000000,836.299988,759.927612,71
2002-11-12,835.000000,840.000000,832.000000,839.450012,762.789734,140
2002-11-13,840.000000,852.950012,840.000000,841.900024,767.759949,126
2002-11-14,842.000000,844.000000,833.000000,843.650024,769.355530,81
2002-11-15,841.000000,844.000000,837.000000,843.000000,768.762878,38
2002-11-18,879.950012,879.950012,841.000000,844.500000,770.130615,366
2002-11-19,844.500000,844.500000,844.500000,844.500000,770.130615,0
2002-11-20,850.000000,850.000000,835.000000,842.250000,768.079041,183
2002-11-21,838.000000,845.000000,835.000000,844.000000,769.674805,35
2002-11-22,833.250000,851.000000,833.250000,847.099976,772.502136,112
2002-11-25,850.000000,859.099976,845.200012,848.599976,773.869873,401
2002-11-26,847.150024,853.650024,841.000000,846.450012,771.909302,255
2002-11-27,847.299988,874.000000,847.299988,854.950012,779.660706,316
2002-11-28,856.250000,874.000000,856.250000,869.750000,793.157349,273
2002-11-29,849.000000,869.000000,849.000000,853.000000,777.882385,230
2002-12-02,848.099976,872.000000,848.099976,867.200012,790.831848,126
2002-12-03,870.950012,871.000000,840.000000,843.650024,769.355530,870
2002-12-04,850.000000,850.000000,840.000000,849.049988,774.280151,303
2002-12-05,850.500000,878.000000,850.500000,873.799988,796.850708,1007
2002-12-06,870.000000,874.900024,863.000000,872.250000,795.437012,422
